Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-07-13,191.08,191.84,190.9,191.33,12519792.0,0.0,1.0,188.9364865581498,189.68796096564503,188.75850577742722,189.18368208693113,12519792.0
2018-07-16,191.52,192.65,190.415,190.91,15043110.0,0.0,1.0,189.37155068880494,190.48887447889655,188.27894645159142,188.76839359857846,15043110.0
2018-07-17,189.75,191.87,189.2,191.45,15534523.0,0.0,1.0,187.62140634503308,189.7176244290988,187.07757618171414,189.30233594074613,15534523.0
2018-07-18,191.78,191.8,189.93,190.4,16393381.0,0.0,1.0,189.62863403873752,189.64840968104002,187.79938712575563,188.26411471986455,16393381.0
2018-07-19,189.69,192.55,189.69,191.88,20286752.0,0.0,1.0,187.56207941812553,190.38999626738402,187.56207941812553,189.72751225025004,20286752.0
2018-07-20,191.78,192.43,190.17,191.44,20706042.0,0.0,1.0,189.62863403873752,190.271342413569,188.0366948333857,189.2924481195949,20706042.0
2018-07-23,190.68,191.96,189.56,191.61,15989365.0,0.0,1.0,188.54097371209966,189.80661481946007,187.43353774315926,189.4605410791662,15989365.0
2018-07-24,192.45,193.6601,192.05,193.0,18697898.0,0.0,1.0,190.29111805587146,191.48764329338465,189.89560520982135,190.8349482191904,18697898.0
2018-07-25,193.0602,194.85,192.43,194.82,16826483.0,0.0,1.0,190.894472902521,192.6641951321723,190.271342413569,192.63453166871852,16826483.0
2018-07-26,194.61,195.96,193.61,194.21,19075964.0,0.0,1.0,192.42688742454223,193.76174327996142,191.4381053094169,192.0313745784921,19075964.0
2018-07-27,194.99,195.19,190.1,190.98,24023972.0,0.0,1.0,192.80262462828986,193.00038105131492,187.96748008532694,188.83760834663724,24023972.0
2018-07-30,191.9,192.2,189.07,189.91,21029535.0,0.0,1.0,189.74728789255255,190.04392252709013,186.94903450674784,187.77961148345312,21029535.0
2018-07-31,190.3,192.14,189.34,190.29,39373038.0,0.0,1.0,188.16523650835202,189.98459560018262,187.21600567783167,188.15534868720076,39373038.0
2018-08-01,199.13,201.76,197.31,201.5,67935716.0,0.0,1.0,196.89618258490876,199.4966795476884,195.09659913538064,199.23959619775582,67935716.0
2018-08-02,200.58,208.38,200.35,207.39,62404012.0,0.0,1.0,198.3299166518405,206.04241714981814,198.10249676536165,205.06352285584404,62404012.0
2018-08-03,207.03,208.74,205.4803,207.99,33447396.0,0.0,1.0,204.70756129439894,206.39837871126326,203.1752456505892,205.65679212491926,33447396.0
2018-08-06,208.0,209.25,207.07,209.07,25425387.0,0.0,1.0,205.6666799460705,206.90265758997717,204.74711257900393,206.72467680925462,25425387.0
2018-08-07,209.32,209.5,206.76,207.11,25587387.0,0.0,1.0,206.97187233803595,207.14985311875853,204.44059012331508,204.78666386360896,25587387.0
